katalog_kaynagi,urun_kodu_ve_adi,fiyat,bedenler,kumas_icerigi,gorsel_aciklamasi
elbise-2026.pdf,FIRFIRLI GECE ELBİSESİ FIRFIRLI GECE ELBİSESİ A KESİM SİYAH UZUN ELBİSE MİNİ DÜZ GECE ELBİSESİ SİMLİ GECE ELBİSESİ AYARLANIR BÜZGÜLÜ ELBİSE FERACE-NAMAZ ELBİSESİ TEK PARÇA NAMAZ ELBİSESİ ÜRÜNLERİ KEŞFET,240₺,,,
elbise-2026.pdf,23-B1 - A KESİM UZUN KOL ELBİSE,450₺,S-M-L-XL-2XL,LİKRALI MDL İNTERLOK,SİYAH
elbise-2026.pdf,23-B2 - KISA KOLLU AYARLANABİLEN BÜZGÜLÜ ELBİSE,400₺,S-M-L-XL-2XL,LİKRALI MDL İNTERLOK,SİYAH
elbise-2026.pdf,23-B3 - FIRFIR DETAYLI MİNİ GECE ELBİSESİ,400₺,S-M-L-XL-2XL,LİKRALI MDL İNTERLOK,SİYAH
elbise-2026.pdf,23-B4 - FIRFIR DETAYLI MİNİ GECE ELBİSESİ,400₺,S-M-L-XL-2XL,LİKRALI MDL İNTERLOK,BEYAZ
elbise-2026.pdf,23-B5 - MİNİ SİYAH GECE ELBİSESİ,390₺,S-M-L-XL-2XL,LİKRALI MDL İNTERLOK,SİYAH
elbise-2026.pdf,23-B6 - SİMLİ MİNİ GECE ELBİSESİ,350₺,S-M-L-XL-2XL,ÖRME SİMLİ BUZYY,LEOPAR
elbise-2026.pdf,23-B7 - FERACE- BAĞLAMALI NAMAZ ELBİSESİ,220₺,S-M-L-XL-2XL,70 DENYE,SİYAH
elbise-2026.pdf,23-B8 - ŞALLI TEK PARÇA NAMAZ ELBİSESİ-HİJAP,240₺,S-M-L-XL,70 DENYE,SİYAH
esofman-pantolon-2026.pdf,P-200 - NERVÜRLÜ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,180₺,S-M-L-XL-2XL,2 iplik,Gri-Menaj
esofman-pantolon-2026.pdf,P-201 - NERVÜRLÜ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,180₺,S-M-L-XL-2XL,2 iplik,Siyah
esofman-pantolon-2026.pdf,P-202 - NERVÜRLÜ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,180₺,S-M-L-XL-2XL,2 iplik,Lacivert
esofman-pantolon-2026.pdf,P-203 - NERVÜRLÜ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,180₺,S-M-L-XL-2XL,2 iplik,Antrasit
esofman-pantolon-2026.pdf,P-204 - KARGO CEPLİ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,190₺,S-M-L-XL-2XL,Scuba puf jarse,Siyah
esofman-pantolon-2026.pdf,P-205 - KARGO CEPLİ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,190₺,S-M-L-XL-2XL,Scuba puf jarse,GRİ-Menaj
esofman-pantolon-2026.pdf,P-206 - KARGO CEPLİ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,190₺,S-M-L-XL-2XL,Scuba puf jarse,Antrasit
esofman-pantolon-2026.pdf,P-207 - KARGO CEPLİ PALAZZO OVERSİZE KESİM EŞOFMAN ALTI,190₺,S-M-L-XL-2XL,Scuba puf jarse,Lacivert
esofman-pantolon-2026.pdf,P-208 - YÜKSEK BEL GENİŞ KESİM PALAZZO PANTOLON,195₺,S-M-L-XL-2XL,Bürümcük,Siyah
esofman-pantolon-2026.pdf,P-209 - YÜKSEK BEL GENİŞ KESİM PALAZZO PANTOLON,195₺,S-M-L-XL-2XL,Bürümcük,Beyaz
esofman-pantolon-2026.pdf,P-210 - LEOPAR DESEN YÜKSEK BEL GENİŞ KESİM PALAZZO PANTOLON,195₺,S-M-L-XL-2XL,Bürümcük,Leopar
esofman-pantolon-2026.pdf,P-211 - LEOPAR DESEN YÜKSEK BEL LİKRALI PANTOLON,170₺,S-M-L-XL-2XL,Bürümcük,Leopar
etek-2026.pdf,KLOŞ ETEK UZUN KLOŞ ETEK UZUN KLOŞ ETEK UZUN ŞORTLU ETEK ŞORTLU ETEK LEOPAR ETEK UZUN BOY KALEM ETEK MİDİ BOY KLOŞ ETEK ASTARLARI ÜRÜNLERİ KEŞFET,80₺,,,
etek-2026.pdf,23-A1 - A KESİM KLOŞ ETEK,230₺,S-M-L-XL-2XL,SCUBA PUF MDL 220GR,SİYAH
etek-2026.pdf,23-A2 - A KESİM KLOŞ ETEK,230₺,S-M-L-XL-2XL,SCUBA PUF MDL 220GR,KAHVERENGİ
etek-2026.pdf,23-A3 - A KESİM KLOŞ ETEK,230₺,S-M-L-XL-2XL,SCUBA PUF MDL 220GR,ANTRASİT
etek-2026.pdf,23-A4 - A KESİM KLOŞ ETEK,230₺,S-M-L-XL-2XL,SCUBA PUF MDL 220GR,EKRU
etek-2026.pdf,23-A5 - SİYAH YÜKSEK BEL KALEM ETEK UZUN,170₺,S-M-L-XL-2XL,SCUBA PUF MDL220GR,SİYAH
etek-2026.pdf,23-A6 - LEOPAR DESENLİ KLOŞ ETEK LEOPAR BASKILI,250₺,S-M-L-XL-2XL,SCUBA PUF MDL220GR,LEOPAR
etek-2026.pdf,23-A7 - MİDİ BOY YÜKSEK BEL A KESİM ETEK,170₺,S-M-L-XL-2XL,SCUBA PUF MDL 200GR,SİYAH
etek-2026.pdf,23-A8 - UZUN ETEK ASTARI,80₺,S-M-L-XL,70 DENYE,BEYAZ
etek-2026.pdf,23-A9 - UZUN ETEK ASTARI,80₺,S-M-L-XL,70 DENYE,SİYAH
etek-2026.pdf,23-A10 - UZUN ETEK ASTARI,80₺,S-M-L-XL,70 DENYE,EKRU
etek-2026.pdf,23-A11 - ŞORT ETEK,170₺,S-M-L-XL-2XL,MİKRO SPRM 180GR,SİYAH
etek-2026.pdf,23-A12 - ŞORT ETEK,170₺,S-M-L-XL-2XL,MİKRO SPRM 180GR,BEYAZ
etek-2026.pdf,23-A13 - YÜKSEK BEL LİKRALI MİNİ ETEK,90₺,S-M-L-XL-2XL,LİKRALI DLG 220GR,SİYAH
etek-2026.pdf,23-A14 - YÜKSEK BEL LİKRALI MİNİ ETEK,90₺,S-M-L-XL-2XL,LİKRALI DLG 220GR,BEYAZ
kadin-ust-2026.pdf,P-300 - KAYIKÇI YAKA DEKOLTELİ BASİC CROP BLUZ,95₺,S-M-L-XL-2XL,Mikro,Siyah
kadin-ust-2026.pdf,P-301 - KAYIKÇI YAKA DEKOLTELİ BASİC CROP BLUZ,95₺,S-M-L-XL-2XL,Mikro,Beyaz
kadin-ust-2026.pdf,P-302 - LEOPAR DESEN KAYIKÇI YAKA DEKOLTELİ BASİC CROP BLUZ,95₺,S-M-L-XL-2XL,Mikro,Leopar
kadin-ust-2026.pdf,P-303 - GENİŞ YAKA KETEN GÖRÜNÜMLÜ OVERSİZE T-SHİRT,135₺,S-M-L-XL-2XL,Mikro,Siyah
kadin-ust-2026.pdf,P-304 - GENİŞ YAKA KETEN GÖRÜNÜMLÜ OVERSİZE T-SHİRT,135₺,S-M-L-XL-2XL,Mikro,Beyaz
kadin-ust-2026.pdf,P-305 - LEOPAR DESEN GENİŞ YAKA KETEN GÖRÜNÜMLÜ OVERSİZE T-SHİRT,135₺,S-M-L-XL-2XL,Mikro,Leopar
kadin-ust-2026.pdf,P-111 - SPORCU CROP T-SHİRT,120₺,S-M-L-XL-2XL,Likralı Dlg,Siyah
kadin-ust-2026.pdf,P-112 - SPORCU CROP T-SHİRT,120₺,S-M-L-XL-2XL,Likralı Dlg,Antrasit
kadin-ust-2026.pdf,P-113 - SPORCU CROP T-SHİRT,120₺,S-M-L-XL-2XL,Likralı Dlg,Kahverengi
kadin-ust-2026.pdf,P-114 - DETAYLI CROP,105₺,S-M-L-XL-2XL,Likralı Dlg,Siyah
kadin-ust-2026.pdf,P-115 - DETAYLI CROP,105₺,S-M-L-XL-2XL,Likralı Dlg,Antrasit
kadin-ust-2026.pdf,P-116 - DETAYLI CROP,105₺,S-M-L-XL-2XL,Likralı Dlg,Kahverengi
kadin-ust-2026.pdf,P-117 - HALTER YAKA CROP,120₺,S-M-L-XL-2XL,Likralı Dlg,Siyah
kadin-ust-2026.pdf,P-118 - HALTER YAKA CROP,120₺,S-M-L-XL-2XL,Likralı Dlg,Antrasit
kadin-ust-2026.pdf,P-119 - HALTER YAKA CROP,120₺,S-M-L-XL-2XL,Likralı Dlg,Kahverengi
kadin-ust-2026.pdf,P-120 - ÇAPRAZ CROP,110₺,S-M-L-XL-2XL,Likralı Dlg,Siyah
kadin-ust-2026.pdf,P-121 - ÇAPRAZ CROP,110₺,S-M-L-XL-2XL,Likralı Dlg,Antrasit
